2017-04-26 20:54:05,337 - default_file_logger - ERROR - Thread-8 -  Could not prse json, returning None
2017-04-26 20:54:06,674 - default_file_logger - ERROR - Thread-10 -  Could not prse json, returning None
2017-04-26 20:54:43,102 - default_file_logger - ERROR - Thread-34 -  Could not prse json, returning None
2017-04-26 21:10:02,361 - default_file_logger - ERROR - Thread-67 -  Could not prse json, returning None
2017-04-26 21:10:09,848 - default_file_logger - ERROR - Thread-77 -  Could not prse json, returning None
2017-04-26 21:23:36,478 - default_file_logger - ERROR - Thread-106 -  Could not prse json, returning None
2017-04-30 20:53:20,465 - default_file_logger - ERROR - Thread-22 -  Could not prse json, returning None
2017-05-01 22:56:34,051 - default_file_logger - ERROR - Thread-37 -  GET loop Timeout
2017-05-01 22:56:34,130 - default_file_logger - ERROR - Thread-37 -  The request for results at 3280 from https://www.google.com/finance?output=json&noIL=1&start=3280&num=20&restype=company&q=[currency%20%3D%3D%20%22USD%22%20%26%20%28exchange%20%3D%3D%20%22NASDAQ%22%29%20%26%20%28market_cap%20%3E%3D%200%29%20%26%20%28market_cap%20%3C%3D%20746660000000%29] failed.
2017-05-01 22:58:42,646 - default_file_logger - ERROR - Thread-7 -  IP api call failed; SOCKSHTTPSConnectionPool(host='api.ipify.org', port=443): Max retries exceeded with url: /?format=json (Caused by ConnectTimeoutError(<requests.packages.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000017562F474A8>, 'Connection to api.ipify.org timed out. (connect timeout=5)'))
2017-05-01 22:59:10,684 - default_file_logger - ERROR - Thread-28 -  IP api call failed; SOCKSHTTPSConnectionPool(host='api.ipify.org', port=443): Max retries exceeded with url: /?format=json (Caused by ConnectTimeoutError(<requests.packages.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000017564596D68>, 'Connection to api.ipify.org timed out. (connect timeout=5)'))
2017-05-01 22:59:33,799 - default_file_logger - ERROR - Thread-42 -  IP api call failed; SOCKSHTTPSConnectionPool(host='api.ipify.org', port=443): Max retries exceeded with url: /?format=json (Caused by ConnectTimeoutError(<requests.packages.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x0000017562F17F28>, 'Connection to api.ipify.org timed out. (connect timeout=5)'))
2017-05-01 22:59:55,428 - default_file_logger - ERROR - Thread-59 -  IP api call failed; SOCKSHTTPSConnectionPool(host='api.ipify.org', port=443): Max retries exceeded with url: /?format=json (Caused by ConnectTimeoutError(<requests.packages.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x00000175645E4438>, 'Connection to api.ipify.org timed out. (connect timeout=5)'))
2017-05-01 23:00:16,253 - default_file_logger - ERROR - Thread-70 -  IP api call failed; SOCKSHTTPSConnectionPool(host='api.ipify.org', port=443): Max retries exceeded with url: /?format=json (Caused by ConnectTimeoutError(<requests.packages.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x000001756462E588>, 'Connection to api.ipify.org timed out. (connect timeout=5)'))
2017-05-01 23:00:58,750 - default_file_logger - ERROR - Thread-96 -  IP api call failed; SOCKSHTTPSConnectionPool(host='api.ipify.org', port=443): Max retries exceeded with url: /?format=json (Caused by ConnectTimeoutError(<requests.packages.urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x00000175646C0978>, 'Connection to api.ipify.org timed out. (connect timeout=5)'))
2017-05-01 23:02:23,876 - default_file_logger - ERROR - Thread-142 -  Could not prse json, returning None
